name,old,new,source
Camryn Carter,Mississippi State,Kansas State,
Courtney Carter,SIUE,Tarleton State,Jake Lieberman
Devin Carter,South Carolina,Providence,
Noah Carter,Northern Iowa,Missouri,
P.J. Carter,Campbell,Georgia Highlands College,
Derrick Carter-Hollinger,Montana,Bethune–Cookman,
Patrick Cartier,Hillsdale,Colorado State,
Matteus Case,Providence,William & Mary,
Aaron Cash,Texas A&M,UT Arlington,
Graham Cassoutt,South Dakota,,
Marsei Caston,New Mexico State,,
Kale Catchings,Harvard,Duke,"Joseph Tipton, On3"
Samkelo Cele,Marist,,
Christian Cevis,Fairfield,Adelphi,
Trent Champagne,Lindenwood,Millikin University,
Luke Champion,Missouri Western,Arizona,
Jack Chapman,Kansas City,Central Missouri,
Sy Chatman,Illinois State,Buffalo,
Taeshon Cherry,GCU,Marian University,
Joshua Chesney,Merrimack,St. Edward's,
Luke Chicone,Youngstown State,John Carroll University,
Chris Childs,Bryant,Lindenwood,
Tyler Chisom,South Dakota,Prairie View A&M,
Robert Chougkaz,Northwestern State,Harding,
Tanner Christensen,Idaho,Utah Tech,Jake Lieberman
Tredyn Christensen,Chaminade,Brigham Young,
Caleb Christopher,Tennessee Tech,,
Favour Chukwukelu,Chicago State,,
Ryan Claflin,Green Bay,Palm Beach Atlantic,
Cam Clardy,UTEP,,
E.J. Clark,Alabama State,George Washington,
Jack Clark,La Salle,NC State,
Jalon Clark,Prairie View A&M,North American University,
Kareem Clark,Alabama State,Cal Poly Humboldt,Jake Lieberman
Kobe Clark,Georgetown,Southeast Missouri State,
Aaron Clarke,Sacred Heart,Stony Brook,
Hugo Clarkin,Sacramento State,Bossier Parish Community College,
Tyzhaun Claude,Morehead State,Western Carolina,
Junior Clay,Tennessee Tech,Tennessee State,"Jeff Borzello, ESPN"
Dejuan Clayton,Hartford,California,
Chandler Clements,Austin Peay,,
Kejuan Clements,Eastern Illinois,,
Malcolm Clements,Eastern Michigan,,
Jalen Cobb,Fordham,Mercer,"Jeff Goodman, Stadium"
Tyler Cochran,Ball State,Toledo,
Spencer Cody,Xavier,,
Jimel Cofer,Stephen F. Austin,,
Brad Colbert,Louisville,Xavier,
Jerrell Colbert,LSU,Kansas State,
Jeriah Coleman,St. Francis (PA),Clarendon College,
Kaleb Coleman,Lipscomb,Elizabeth City State,
Kendal Coleman,Northwestern State,LSU,
Jarron Coleman II,Missouri,Ball State,
Lance Coleman II,Cal State Northridge,,
Marvin Coleman II,UNLV,Evansville,
Noah Collier,Pittsburgh,William & Mary,
Devin Collins,Marshall,University of Pikeville,
Frankie Collins,Michigan,Arizona State,
Kyle Colvin,Cal Poly,,
Maurice Commander,UIC,LIU,
Bailey Conrad,Western Kentucky,,
Ryan Conway,Seton Hall,Towson,
Chase Cook,Robert Morris,,
Jarius Cook,North Dakota State,Jacksonville,
Jarren Cook,Sam Houston State,Tyler Junior College,
Preston Cook,Auburn,Drury,
Tasos Cook,Stetson,Vincennes University,
Anthony Cooper,Caldwell,Marist,
Marquez Cooper,Bluefield State,New Orleans,
Ta'lon Cooper,Morehead State,Minnesota,
Tyree Corbett,Coppin State,Denver,
Josh Corbin,Winthrop,Robert Morris,
Anjay Cortez,Alabama A&M,San Diego City College,
Virshon Cotton,New Mexico State,,
Isaiah Cottrell,West Virginia,UNLV,
Jermaine Couisnard,South Carolina,Oregon,"Jon Rothstein, CBS"
Abdoul Karim Coulibaly,St. Bonaventure,UMass Lowell,FInest Magazine
Boubacar Coulibaly,USC,Pepperdine,
Ricky Council IV,Wichita State,Arkansas,
Khristion Courseault,Houston Baptist,Chattanooga,
Chase Courtney,Arizona State,,
Yuri Covington,William & Mary,UMass Lowell,
Isaiah Cozart,Western Kentucky,Eastern Kentucky,
Kvonn Cramer,Hofstra,Bryant,
Cameron Crawford,New Mexico State,,
Jacob Crews,North Florida,Daytona State College,
Pierre Crockrell II,Pacific,UC Irvine,
Jackson Cronin,Nebraska,,
Omar Croskey,South Carolina State,,
Matt Cross,Louisville,Massachusetts,
Austin Crowley,Ole Miss,Southern Miss,
Nelly Cummings,Colgate,Pittsburgh,
Kam'Ron Cunningham,Fordham,Coppin State,
Andre Curbelo,Illinois,St. John's,
Kamdyn Curfman,VMI,Marshall,
Carlos Curtis,SIUE,,
Mihai Cârcoană,Toledo,South Dakota,"Travis Branham, 247Sports"
Deven Dahlke,Drake,,
Dain Dainja,Baylor,Illinois,
E.J. Dambreville,Manhattan,Florida Southern,
Peyton Daniels,Vanderbilt,Stephen F. Austin,
Peyton Daniels,Stephen F. Austin,Jacksonville State,
Ben Daugherty,Elon,,
Keishawn Davidson,Tennessee Tech,Belmont,
Amari Davis,Missouri,Wright State,
Brendan Davis,UMBC,,
Brent Davis,The Citadel,Chicago State,
Christian Davis,Le Moyne,Bradley,
Dashawn Davis,Oregon State,Mississippi State,
Dre Davis,Louisville,Seton Hall,"Joseph Tipton, On3"
Elijah Davis,Mississippi Valley State,Walters State Community College,
Javian Davis,Mississippi State,UAB,
Jemal Davis,South Carolina State,Florida SouthWestern State College,
Kendric Davis,SMU,Memphis,
Matt Davis,Charleston Southern,Laramie County Community College,LCCC Sports
Tyreese Davis,Jacksonville,Eastern Washington,
Al-Amir Dawes,Clemson,Seton Hall,"Jon Rothstein, CBS"
Paris Dawson,Portland State,Seattle,
"Antonio Daye, Jr.",Fordham,Coastal Carolina,
Mike DePersia,IUPUI,Le Moyne,
Duke Deen,Troy,Bradley,
Jaiden Delaire,Stanford,San Diego,
Sekou Dembélé,Southern Illinois,Fort Lewis,
Dexter Dennis,Wichita State,Texas A&M,
Nazim Derry,Goldey–Beacom,New Hampshire,
Sherwyn Devonish,Morgan State,Rogers State,
Shane Dezonie,Vanderbilt,Temple,
Mike DiGiulio,Kent State,,
Mohamed Diallo,Stony Brook,,
Hassan Diarra,Texas A&M,Connecticut,
Ali Dibba,Chicago State,Abilene Christian,
Ebrima Dibba,Coastal Carolina,South Carolina,
